country,id_1,population
AGO,1,460477.75
AGO,2,1777846.61
AGO,3,969189.86
AGO,4,1246590.61
AGO,5,377188.25
AGO,6,318188.3
AGO,7,1700781.83
AGO,8,1119562.48
AGO,9,1515059.63
AGO,10,2890950.99
AGO,11,14988192.83
AGO,12,795614.83
AGO,13,460510.63
AGO,14,853554.31
AGO,15,1082029.24
AGO,16,575056.22
AGO,17,819394.03
AGO,18,707509.71
ALB,1,114463.48
ALB,2,109723.84
ALB,3,298550.44
ALB,4,260789.39
ALB,5,272036.3
ALB,6,56849.52
ALB,7,199616.3
ALB,8,71875.15
ALB,9,130015.57
ALB,10,198287.69
ALB,11,1038964.46
ALB,12,177810.63
ARE,1,2598423.36
ARE,2,445016.64
ARE,3,3652789.3
ARE,4,215024.86
ARE,5,378605.06
ARE,6,2219423.57
ARE,7,81598.15
ARG,1,18113609.01
ARG,2,411493.55
ARG,3,1145722.56
ARG,4,650749.27
ARG,5,3080916.75
ARG,6,3630960.31
ARG,7,1070512.77
ARG,8,1333784.97
ARG,9,587249.03
ARG,10,754227.7
ARG,11,347446.97
ARG,12,395578.04
ARG,13,1947335.14
ARG,14,1285045.07
ARG,15,664669.17
ARG,16,745883.46
ARG,17,1394025.23
ARG,18,765291.29
ARG,19,521822.61
ARG,20,411756.44
ARG,21,3453343.17
ARG,22,964221.74
ARG,23,161407.83
ARG,24,1590577.06
ARM,1,139571.94
ARM,2,275158.45
ARM,3,339066.85
ARM,4,1050503.65
ARM,5,222007.58
ARM,6,223292.2
ARM,7,203771.7
ARM,8,235053.8
ARM,9,116021.31
ARM,10,108311.95
ARM,11,46043.32
ASM,1,20705.69
ASM,2,569.36
ASM,3,2.21
ASM,4,29203.56
ATG,1,1715.07
ATG,3,9481.43
ATG,4,55918.46
ATG,5,7474.91
ATG,6,7184.86
ATG,7,4771.22
ATG,8,3072.94
AUS,2,425419.55
AUS,4,429.09
AUS,5,8091274.18
AUS,6,245186.59
AUS,7,5074348.17
AUS,8,1893053.26
AUS,9,560657.4
AUS,10,6355731.39
AUS,11,2645971.98
AUT,1,289946.19
AUT,2,549156.5
AUT,3,1684345.37
AUT,4,1418420.07
AUT,5,539637.42
AUT,6,1224975.58
AUT,7,735867.19
AUT,8,376537.95
AUT,9,1826518.17
BDI,1,488704.23
BDI,2,1023517.12
BDI,3,912922.4
BDI,4,982979.52
BDI,5,390090.2
BDI,6,681833.15
BDI,7,1026714.19
BDI,8,618066.47
BDI,9,994657.01
BDI,10,998438.21
BDI,11,664942.71
BDI,12,414351.26
BDI,13,1229284.07
BDI,14,401690.29
BDI,15,975581.82
BDI,16,620900.14
BDI,17,703553.72
BEL,1,1247616.29
BEL,2,6680984.97
BEL,3,3687997.38
BEN,1,1133054.15
BEN,2,983599.67
BEN,3,1870633.29
BEN,4,1608628.74
BEN,5,821441.39
BEN,6,682268.11
BEN,7,879661.78
BEN,8,491575.6
BEN,9,525870.03
BEN,10,1372894.73
BEN,11,760862.06
BEN,12,1009071.23
BFA,1,1657665.17
BFA,2,808375.82
BFA,7,2909216.98
BFA,3,1397290.52
BFA,4,1447575.42
BFA,5,1434407.93
BFA,6,738248.71
BFA,8,1600914.03
BFA,9,1950664.72
BFA,10,1348636.83
BFA,11,796243.09
BFA,12,1209905.44
BFA,13,759795.68
BGD,1,8663468.81
BGD,2,33321077.04
BGD,3,58956735.11
BGD,4,17110305.89
BGD,5,21142653.49
BGD,6,18087216.47
BGD,7,12402154.09
BGR,1,305330.29
BGR,2,404121.72
BGR,3,166354.82
BGR,4,104577.26
BGR,5,1385742.13
BGR,6,221112.32
BGR,7,139444.17
BGR,8,115850.71
BGR,9,119136.11
BGR,10,121484.06
BGR,11,246618.83
BGR,12,124507.4
BGR,13,229527.06
BGR,14,646349.73
BGR,15,103189.04
BGR,16,205192.95
BGR,17,159908.83
BGR,18,100484.32
BGR,19,178434.75
BGR,20,106355.0
BGR,21,230990.92
BGR,22,300590.31
BGR,23,106155.91
BGR,24,480088.89
BGR,25,227655.09
BGR,26,78832.46
BGR,27,145843.83
BGR,28,111401.93
BHR,1,378126.58
BHR,2,353454.28
BHR,3,204075.41
BHR,4,301035.68
BHR,5,165567.25
BHS,1,676.39
BHS,2,605.37
BHS,3,1698.56
BHS,4,1408.38
BHS,5,1298.59
BHS,6,10532.6
BHS,7,497.58
BHS,8,1704.71
BHS,9,9826.71
BHS,10,254.84
BHS,11,1525.93
BHS,12,9062.3
BHS,13,51.44
BHS,14,1651.16
BHS,15,3686.07
BHS,16,831.83
BHS,17,3113.85
BHS,18,795.48
BHS,19,295.67
BHS,20,698.58
BHS,21,273384.4
BHS,22,2080.02
BHS,23,4135.2
BHS,24,3536.85
BHS,25,67.47
BHS,26,59.2
BHS,27,844.35
BHS,28,1260.14
BHS,29,1458.92
BHS,30,1924.26
BHS,32,41592.08
BIH,1,134047.74
BIH,2,2402321.96
BIH,3,1207957.5
BLR,1,1351841.85
BLR,2,1384155.6
BLR,3,995042.09
BLR,4,1007856.42
BLR,5,3498383.22
BLR,6,1124936.03
BLZ,1,119278.51
BLZ,2,97498.34
BLZ,3,49987.62
BLZ,4,42794.84
BLZ,5,45173.09
BLZ,6,32253.63
BOL,1,614056.4
BOL,2,2002052.74
BOL,3,505264.89
BOL,4,3022049.25
BOL,5,584207.2
BOL,6,185092.73
BOL,7,914274.93
BOL,8,3156918.52
BOL,9,556585.84
BRA,1,933820.41
BRA,2,3419767.91
BRA,3,919856.83
BRA,4,4313176.53
BRA,5,14936000.65
BRA,6,9502266.04
BRA,7,3171897.69
